Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Norway,414000,389000,407000,465000,370000,388000,402000,415000,405000,407000,409000,420000,398000,419000,388000,422000,417000,433000,391000,404000,412000,462000,308000,363000,345000,400000,425000
Pakistan,50000,162000,301000,87000,79000,0,12000,42000,0,0,0,10000,0,0,11000,538000,1251000,1669000,2381000,1726000,2438000,2607000,1780000,412000,984000,1971000,2500000
Panama,2000,2000,2000,13000,6000,6000,5000,5000,1000,4000,7000,5000,3000,11000,18000,30000,35000,37000,39000,39000,33000,28000,33000,36000,37000,45000,50000
Paraguay,0,8000,8000,10000,15000,34000,10000,15000,15000,22000,20000,21000,19000,27000,7000,7000,6000,12000,6000,13000,10000,18000,40000,10000,6000,5000,20000
Peru,28000,62000,74000,105000,21000,24000,37000,49000,105000,92000,100000,79000,93000,162000,266000,334000,263000,320000,310000,378000,300000,272000,292000,228000,222000,250000,275000
Philippines,360000,365000,347000,248000,239000,230000,121000,107000,70000,67000,84000,85000,51000,56000,122000,118000,268000,248000,193000,149000,157000,171000,178000,139000,151000,160000,175000
Russia,65000,22000,64000,15000,1000,40000,2000,34000,442000,837000,1037000,1000000,741000,717000,2048000,1986000,2336000,2221000,2237000,2162000,2047000,2042000,1850000,1644000,1303000,1000000,600000
Saudi Arabia,,,,,,,1000,6000,67000,216000,362000,502000,564000,598000,671000,696000,711000,596000,536000,562000,805000,776000,789000,504000,361000,147000,350000
"Serbia, Montenegro, and Kosovo",0,5000,0,10000,3000,0,9000,10000,1000,36000,46000,10000,7000,49000,12000,31000,87000,14000,92000,1000,0,4000,72000,152000,106000,259000,350000
Singapore,20000,24000,21000,20000,23000,22000,21000,19000,20000,19000,20000,19000,19000,20000,20000,23000,22000,20000,21000,21000,21000,22000,23000,22000,21000,20000,20000
South Africa,71000,26000,27000,19000,28000,6000,24000,114000,2000,4000,1000,1000,1000,6000,102000,129000,274000,28000,8000,9000,119000,12000,5000,4000,159000,30000,50000
South Korea,1606000,1389000,1434000,1516000,1368000,1240000,1190000,1231000,1232000,1167000,1197000,1239000,1139000,1115000,1271000,1246000,1249000,1286000,1256000,1373000,1291000,1336000,1268000,1337000,1118000,1128000,1160000
Switzerland,100000,62000,60000,43000,46000,52000,39000,40000,37000,24000,24000,23000,20000,18000,14000,15000,11000,15000,14000,13000,10000,14000,14000,11000,10000,12000,12000
Syria,40000,171000,134000,92000,181000,198000,313000,383000,360000,560000,540000,305000,78000,70000,29000,54000,17000,4000,3000,4000,2000,3000,1000,1000,1000,1000,1000
Taiwan,2408000,2330000,2578000,2351000,2218000,2256000,2498000,2436000,2148000,2216000,2469000,2454000,2285000,2286000,2335000,2520000,2476000,2566000,2666000,2614000,2708000,2615000,2622000,2559000,2577000,2768000,2950000
Thailand,1192000,1286000,1550000,1779000,1407000,1517000,1473000,1532000,1753000,1510000,1660000,2139000,1907000,1867000,1798000,2411000,2798000,3078000,2482000,3155000,3831000,4157000,3243000,3238000,3428000,4190000,4200000
Trinidad and Tobago,71000,85000,94000,80000,68000,67000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,4000,8000,9000,10000,10000
Tunisia,,,,,,,0,37000,19000,166000,313000,419000,451000,479000,444000,489000,546000,471000,683000,513000,610000,535000,533000,574000,550000,507000,580000
Turkey,313000,382000,541000,742000,600000,1112000,889000,1217000,1339000,1076000,1648000,1351000,1057000,1244000,1750000,2256000,2376000,2273000,2872000,2411000,3148000,2745000,2949000,2888000,3252000,4183000,4000000
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,0,10000,13000,1000,0,0,2000,0,1000,0,1000,2000,1000,2000,3000,4000,5000,7000,8000,3000,24000,2000,1000,2000,1000,1000,2000
United Arab Emirates,57000,,1000,159000,211000,460000,288000,668000,314000,107000,0,2000,153000,210000,134000,48000,35000,17000,47000,6000,10000,58000,48000,64000,130000,100000,75000
United States of America,114000,97000,63000,127000,151000,152000,92000,246000,269000,361000,397000,393000,439000,1103000,1953000,904000,641000,606000,594000,383000,419000,539000,433000,667000,567000,789000,544000
Uruguay,0,0,0,0,0,0,0,0,22000,24000,46000,19000,15000,16000,15000,6000,26000,3000,19000,1000,16000,69000,16000,26000,9000,10000,10000
Uzbekistan,33000,54000,65000,70000,1000,10000,3000,17000,5000,8000,8000,27000,3000,4000,9000,8000,7000,9000,10000,18000,20000,21000,30000,26000,31000,40000,45000
Venezuela,155000,185000,69000,4000,19000,10000,53000,2000,22000,34000,102000,197000,146000,213000,200000,118000,121000,62000,261000,7000,45000,67000,58000,69000,138000,120000,130000
Vietnam,50000,32000,27000,34000,39000,6000,46000,74000,120000,184000,231000,932000,1290000,1291000,1564000,1707000,1362000,1646000,1806000,1644000,1903000,1951000,1839000,1858000,2265000,2675000,2900000
Zambia,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000
Zimbabwe,5000,4000,0,3000,3000,65000,1000,0,4000,0,0,0,0,0,0,0,19000,45000,9000,4000,10000,36000,26000,27000,98000,100000,100000
