ST_CTY,State Name,County Name,Crop Name,Program,Enrolled Base
01031,Alabama,Coffee,Peanuts,PLC,"27,740.61"
01031,Alabama,Coffee,Seed Cotton,PLC,"8,175.27"
01031,Alabama,Coffee,Soybeans,ARCCO,328.45
01031,Alabama,Coffee,Soybeans,PLC,732.85
01031,Alabama,Coffee,Wheat,ARCCO,461.08
01031,Alabama,Coffee,Wheat,PLC,"1,552.78"
01033,Alabama,Colbert,Corn,ARCCO,"4,746.31"
01033,Alabama,Colbert,Corn,PLC,330.49
01033,Alabama,Colbert,Grain Sorghum,ARCCO,39.22
01033,Alabama,Colbert,Seed Cotton,ARCCO,"17,956.00"
01033,Alabama,Colbert,Seed Cotton,PLC,"2,621.80"
01033,Alabama,Colbert,Soybeans,ARCCO,"2,214.25"
01033,Alabama,Colbert,Soybeans,PLC,83.62
01033,Alabama,Colbert,Wheat,ARCCO,687.82
01033,Alabama,Colbert,Wheat,PLC,"1,574.42"
01035,Alabama,Conecuh,Corn,ARCCO,300.33
01035,Alabama,Conecuh,Corn,PLC,"3,400.46"
01035,Alabama,Conecuh,Grain Sorghum,PLC,260.59
01035,Alabama,Conecuh,Oats,PLC,141.03
01035,Alabama,Conecuh,Peanuts,PLC,"1,432.01"
01035,Alabama,Conecuh,Seed Cotton,PLC,"2,955.34"
01035,Alabama,Conecuh,Soybeans,PLC,433.73
01035,Alabama,Conecuh,Wheat,ARCCO,92.82
01035,Alabama,Conecuh,Wheat,PLC,"1,329.63"
01039,Alabama,Covington,Corn,ARCCO,249.9
01039,Alabama,Covington,Corn,PLC,"2,558.54"
01039,Alabama,Covington,Grain Sorghum,ARCCO,31.48
01039,Alabama,Covington,Grain Sorghum,PLC,376.62
01039,Alabama,Covington,Oats,ARCCO,135.78
01039,Alabama,Covington,Oats,PLC,697.31
01039,Alabama,Covington,Peanuts,PLC,"15,381.61"
01039,Alabama,Covington,Seed Cotton,PLC,"8,392.51"
01039,Alabama,Covington,Soybeans,ARCCO,210.83
01039,Alabama,Covington,Soybeans,PLC,496.39
01039,Alabama,Covington,Wheat,ARCCO,139.22
01039,Alabama,Covington,Wheat,PLC,866.22
01041,Alabama,Crenshaw,Corn,ARCCO,664.97
01041,Alabama,Crenshaw,Corn,PLC,"2,896.85"
01041,Alabama,Crenshaw,Grain Sorghum,ARCCO,29.4
01041,Alabama,Crenshaw,Grain Sorghum,PLC,348.84
01041,Alabama,Crenshaw,Oats,PLC,59.38
01041,Alabama,Crenshaw,Peanuts,PLC,"4,156.18"
01041,Alabama,Crenshaw,Seed Cotton,PLC,952.95
01041,Alabama,Crenshaw,Soybeans,ARCCO,113.38
01041,Alabama,Crenshaw,Soybeans,PLC,93.42
01041,Alabama,Crenshaw,Wheat,ARCCO,405.87
01041,Alabama,Crenshaw,Wheat,PLC,918.31
01043,Alabama,Cullman,Barley,ARCCO,1.5
01043,Alabama,Cullman,Corn,ARCCO,"1,362.59"
01043,Alabama,Cullman,Corn,PLC,619.44
01043,Alabama,Cullman,Grain Sorghum,ARCCO,64.6
01043,Alabama,Cullman,Grain Sorghum,PLC,14.27
01043,Alabama,Cullman,Oats,ARCCO,16.3
01043,Alabama,Cullman,Oats,PLC,1
