state,year,titlei,ci_net_benefit,abbreviation,snap_cost,title_ii
Mississippi,2015,164620104.6,,,,
Missouri,2015,258093872.1,,,,
Montana,2015,113080712.6,,,,
Nebraska,2015,680412629.5,,,,
Nevada,2015,456397,,,,
New Hampshire,2015,521405,,,,
New Jersey,2015,4704791.54,,,,
New Mexico,2015,21693716.16,,,,
New York,2015,56616400.95,,,,
North Carolina,2015,127333915.4,,,,
North Dakota,2015,455530243,,,,
Ohio,2015,395398668.8,,,,
Oklahoma,2015,121233119.1,,,,
Oregon,2015,37542108.69,,,,
Pennsylvania,2015,29740187.17,,,,
Puerto Rico,2015,2937,,,,
Rhode Island,2015,36916,,,,
South Carolina,2015,54552909.85,,,,
South Dakota,2015,240158008.9,,,,
Tennessee,2015,44696941.08,,,,
Texas,2015,464802621.2,,,,
Utah,2015,7711094.61,,,,
Vermont,2015,3671570,,,,
Virginia,2015,36615103.06,,,,
Washington,2015,105784527.9,,,,
West Virginia,2015,2029705,,,,
Wisconsin,2015,202923450.7,,,,
Wyoming,2015,4991106,,,,
Alabama,2016,86556043.34,,,,
Alaska,2016,18695,,,,
Arizona,2016,18760640,,,,
Arkansas,2016,497058032.6,,,,
California,2016,117348683.5,,,,
Colorado,2016,151339450.9,,,,
Connecticut,2016,569194,,,,
Delaware,2016,12391454.83,,,,
Florida,2016,34119778.53,,,,
Georgia,2016,271223231.5,,,,
Hawaii,2016,0,,,,
Idaho,2016,106706135,,,,
Illinois,2016,385388735.1,,,,
Indiana,2016,293555120.9,,,,
Iowa,2016,231396466.5,,,,
Kansas,2016,457990506.4,,,,
Kentucky,2016,94516411.06,,,,
Louisiana,2016,203324134.5,,,,
Maine,2016,1786568,,,,
Maryland,2016,33731255.63,,,,
Massachusetts,2016,821952.69,,,,
Michigan,2016,159100030.3,,,,
Minnesota,2016,223833945.5,,,,
Mississippi,2016,161731946.4,,,,
Missouri,2016,250492255.2,,,,
Montana,2016,234541098.4,,,,
Nebraska,2016,652390248.5,,,,
Nevada,2016,1130956,,,,
New Hampshire,2016,584366,,,,
New Jersey,2016,4889894.22,,,,
New Mexico,2016,34319349.64,,,,
New York,2016,47147616.83,,,,
North Carolina,2016,105881881.3,,,,
North Dakota,2016,369656283.5,,,,
Ohio,2016,285972546,,,,
Oklahoma,2016,174372112.1,,,,
Oregon,2016,40700598.48,,,,
Pennsylvania,2016,40430446.57,,,,
Puerto Rico,2016,266609,,,,
Rhode Island,2016,177009,,,,
South Carolina,2016,39452678.81,,,,
South Dakota,2016,261223056.4,,,,
Tennessee,2016,70909870.48,,,,
Texas,2016,696323736.9,,,,
Utah,2016,13927165.57,,,,
Vermont,2016,932022.78,,,,
Virginia,2016,49749230.3,,,,
Washington,2016,103060269,,,,
West Virginia,2016,2737644.89,,,,
Wisconsin,2016,59820156.88,,,,
Wyoming,2016,13185578.12,,,,
Alabama,2017,38692704.15,,,,
Alaska,2017,201322,,,,
Arizona,2017,11727458,,,,
Arkansas,2017,284761010.3,,,,
California,2017,33475948,,,,
Colorado,2017,74751929.43,,,,
Connecticut,2017,176971,,,,
Delaware,2017,1397404.04,,,,
Florida,2017,19531637.51,,,,
Georgia,2017,152103579.5,,,,
Hawaii,2017,0,,,,
Idaho,2017,82025123.22,,,,
Illinois,2017,61558370.75,,,,
Indiana,2017,56839494.27,,,,
Iowa,2017,46183065.85,,,,
Kansas,2017,292739384.3,,,,
Kentucky,2017,15705059.12,,,,
Louisiana,2017,99271301.46,,,,
Maine,2017,1773224,,,,
Maryland,2017,5999436.13,,,,
Massachusetts,2017,156909,,,,
Michigan,2017,67264875.83,,,,
Minnesota,2017,43807176,,,,
Mississippi,2017,64490730.63,,,,
Missouri,2017,123308941.1,,,,
Montana,2017,165523305.7,,,,
Nebraska,2017,119273938.4,,,,
Nevada,2017,697215,,,,
New Hampshire,2017,242854,,,,
New Jersey,2017,331195,,,,
New Mexico,2017,21233137.98,,,,
New York,2017,7575842.1,,,,
North Carolina,2017,35589254.24,,,,
North Dakota,2017,285490805.6,,,,
Ohio,2017,66719330.64,,,,
Oklahoma,2017,98941525.1,,,,
Oregon,2017,16935001.91,,,,
Pennsylvania,2017,5725110.24,,,,
Puerto Rico,2017,0,,,,
Rhode Island,2017,10709,,,,
South Carolina,2017,18670545.46,,,,
South Dakota,2017,197179267.6,,,,
Tennessee,2017,13032908.5,,,,
Texas,2017,394615578,,,,
Utah,2017,7171853.2,,,,
Vermont,2017,1260534,,,,
Virginia,2017,24860122.49,,,,
Washington,2017,41172843.76,,,,
West Virginia,2017,458899,,,,
Wisconsin,2017,19991537.89,,,,
Wyoming,2017,7591205,,,,
